datetime,returns,NeweyWest_pval,Bootstrap_pval,BlockBootstrap_pval,Bayesian_pval,rolling_mean
2022-06-16,0.0,0.026746414636397264,0.015873015873015872,0.015873015873015872,0.026622448077298837,0.0014038963393908479
2022-06-17,0.0065659038915843,0.032188517870721745,0.031746031746031744,0.0,0.031429174460124255,0.001445643529214799
2022-06-18,0.0120134963576794,0.0284328134558417,0.031746031746031744,0.0,0.02789362647672372,0.0015656646081691858
2022-06-19,0.0087515495153372,0.01983852416368348,0.0,0.023809523809523808,0.019636870393357656,0.0016956270804616526
2022-06-20,-0.0022988532333056,0.013205883226627413,0.0,0.023809523809523808,0.012652453840921975,0.0016894037227003747
2022-06-21,0.0029436327063634,0.013051488621468432,0.007936507936507936,0.0,0.01294652171932446,0.0017064365563029193
2022-06-22,0.0022721249027917,0.012373028185897583,0.0,0.007936507936507936,0.01221872056985021,0.0017117424641427262
2022-06-23,0.0002333475925733,0.012165138153700128,0.0,0.0,0.01199967176153013,0.001689250646554323
2022-06-24,0.0073632600482145,0.013183874960162711,0.0,0.0,0.012958720153555061,0.0017433008622535088
2022-06-25,7.49557419294057e-05,0.010964842348664905,0.007936507936507936,0.0,0.010870785161424285,0.001784412038236578
2022-06-26,-0.000703740101833,0.009238389171644212,0.0,0.007936507936507936,0.00926833216093852,0.0017777483223765495
2022-06-27,-0.0027191773711883,0.009439596481368495,0.007936507936507936,0.0,0.009501375355759421,0.0017358989945203548
2022-06-28,-0.0008769714303171,0.0110536599985811,0.0,0.0,0.011074243495212195,0.0017229734199501851
2022-06-29,-0.0002705828097461,0.011662392826189083,0.0,0.0,0.011602395044791923,0.0017197341801836678
2022-06-30,0.0018029704253966,0.01188561059739357,0.015873015873015872,0.0,0.011738062543552783,0.001721097638429877
2022-07-01,0.0,0.01182551340551008,0.007936507936507936,0.0,0.011683130793108443,0.001708478936488608
2022-07-02,0.0007752286864025,0.012396806872032706,0.0,0.023809523809523808,0.01221159820033309,0.0017014996745034954
2022-07-03,-0.0074962946638231,0.0127156792618619,0.015873015873015872,0.007936507936507936,0.012509593598252922,0.00163965837968317
2022-07-04,0.0039151763961005,0.016111799858557596,0.007936507936507936,0.007936507936507936,0.015779636037972163,0.001696638737840258
2022-07-05,0.0,0.012876271348179924,0.007936507936507936,0.007936507936507936,0.01297339797667462,0.0017164071847942158
2022-07-06,0.0022132820854955,0.011922865315738163,0.015873015873015872,0.0,0.01207389994549376,0.001733972915631482
2022-07-07,-0.0010151750662042,0.011151511515786194,0.0,0.0,0.011357730994915044,0.0017330712895417748
2022-07-08,0.0053668016705689,0.011168986294278982,0.0,0.007936507936507936,0.011395331876666163,0.0017663159203550629
2022-07-09,0.0013530266295731,0.009918090402977198,0.007936507936507936,0.0,0.010197996695215343,0.0017793627884308857
2022-07-10,-0.00678486217982,0.009406407224642588,0.015873015873015872,0.007936507936507936,0.009729123044992322,0.0017257586297676247
2022-07-11,0.0026520297295477,0.011519652055443586,0.015873015873015872,0.0,0.01198398443640167,0.0017468064847640352
