datetime,Close,Volume,funding_rate
,ETH-USD,ETH-USD,
2022-11-06,1572.2347412109375,11632744705,5.496666666666666e-05
2022-11-07,1568.59130859375,15279963349,4.107333333333333e-05
2022-11-08,1332.8355712890625,42048003440,-3.128e-05
2022-11-09,1100.1697998046875,38864492427,-0.0003511566666666666
2022-11-10,1299.464599609375,28581002122,-0.0004330433333333333
2022-11-11,1287.2210693359375,20920539099,-9.183000000000001e-05
2022-11-12,1255.268310546875,10964962767,8.277333333333334e-05
2022-11-13,1221.8192138671875,10717455214,-3.708333333333333e-05
2022-11-14,1241.604248046875,15028035663,3.4336666666666666e-05
2022-11-15,1251.7362060546875,11798011594,-2.6300000000000002e-05
2022-11-16,1215.6025390625,11939561598,-4.524666666666667e-05
2022-11-17,1200.80859375,9723646871,-5.8949999999999996e-05
2022-11-18,1212.30029296875,7979913378,-6.912666666666667e-05
2022-11-19,1218.4267578125,5978745776,5.6279999999999996e-05
2022-11-20,1142.4666748046875,9651002684,1.3663333333333334e-05
2022-11-21,1108.35302734375,14080099208,-5.987666666666666e-05
2022-11-22,1135.1734619140625,12040670755,-1.0253333333333332e-05
2022-11-23,1183.1995849609375,11242676044,-2.4683333333333338e-05
2022-11-24,1203.983154296875,9706372376,8.736666666666667e-06
2022-11-25,1198.9259033203125,5483308196,2.665666666666667e-05
2022-11-26,1205.89794921875,5074160558,-5.564e-05
2022-11-27,1195.126953125,4486976868,-4.1099999999999996e-05
2022-11-28,1170.086181640625,7275411870,-4.844e-05
2022-11-29,1216.9012451171875,7639405818,5.592666666666667e-05
2022-11-30,1295.6885986328125,9836925304,9.739333333333334e-05
2022-12-01,1276.27392578125,6857935276,3.8853333333333336e-05
2022-12-02,1294.3033447265625,6213645709,4.875333333333333e-05
2022-12-03,1243.3348388671875,5672609405,-1.837e-05
2022-12-04,1280.256591796875,5174128454,-5.156666666666667e-06
2022-12-05,1259.6767578125,6120359523,2.895e-05
2022-12-06,1271.65380859375,5089212680,3.3113333333333334e-05
2022-12-07,1232.4375,5752205180,3.3113333333333334e-05
2022-12-08,1281.1163330078125,6227269815,5.716666666666666e-06
2022-12-09,1264.2847900390625,5706183865,7.251666666666666e-05
2022-12-10,1266.3841552734375,3282499999,3.858e-05
2022-12-11,1263.8685302734375,3362005848,3.3899999999999997e-06
2022-12-12,1274.6190185546875,5151109364,-4.026666666666666e-06
2022-12-13,1320.5491943359375,8812883119,9.649666666666666e-05
2022-12-14,1309.3287353515625,7830915428,0.0001
2022-12-15,1266.3538818359375,6032859783,0.0001
2022-12-16,1168.2593994140625,9297811507,5.406666666666667e-05
2022-12-17,1188.1495361328125,5077258586,1.8936666666666668e-05
2022-12-18,1184.7152099609375,3350092519,5.986666666666667e-05
2022-12-19,1167.60986328125,4943628091,-1.142e-05
2022-12-20,1217.70361328125,6684951715,7.473999999999999e-05
