datetime,close,Volume,funding_rate,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
2022-01-21,36457.31640625,43011992031,7.583e-05,-0.10960468291543993,-0.135172577565528,,0.4556419311689282,14.997470232652816,-12.643485906676865,-1418.0021862561116,-805.3897477440853,-612.6124385120263,0.034547361116658064,,,,,,,,,,,,,,,,,,,14449877820.553902,-12846.027599829205,-1342.9970714032743,-1492.9501499687965,-618.3249559399862,-295.11954712278543,631.3361678974893
2022-01-22,35030.25,39714385405,4.357e-05,-0.039930188839646726,-0.1793507016112876,,0.0,13.065363505519784,-16.41872728780907,-1977.2890626446679,-1039.7696107242018,-937.519451920466,0.03515414516637182,,,,,,,,,,,,,,,,,,,11152271194.55362,-12405.383353443636,-1228.4504808725042,-2010.7621131498188,-951.9914759053179,-346.25758978667875,864.7365970034906
2022-01-23,36276.8046875,26017975951,2.3903333333333332e-05,0.034966573781181565,-0.14222631606390496,,0.0,22.51199246324464,-13.257507792416071,-2060.9246821113484,-1244.000625001631,-816.9240571097173,0.037601093459044686,,,,,,,,,,,,,,,,,,,-2544138259.4434814,-3396.3398637871396,-1023.3973972752528,-2008.487024699886,-903.3066853352736,-553.6837635306796,923.2197944290817
2022-01-24,36654.328125,41856658597,4.698e-05,0.010352967106698903,-0.15350675959464544,,0.01405274893245284,25.179462369292537,-14.23050334910701,-1974.0788689945766,-1390.0162738002202,-584.0625951943564,0.03691055722877945,,,,,,,,,,,,,,,,,,,13294544386.554176,-12012.581661655104,-1544.5227489091922,-2077.897075314469,-623.3226847002372,-692.6571327053398,924.421776002106
2022-01-25,36954.00390625,26428189594,2.706e-05,0.008142486826951165,-0.1733581800196059,,0.0839884081323417,27.330687774381502,-15.916360989319141,-1797.5224893977938,-1471.517516919735,-326.0049724780588,0.0355107715278508,,,,,,,,,,,,,,,,,,,-2133924616.4431686,-2955.768543091366,-1122.912485191223,-1822.748008446488,-429.5892096117755,-865.3465240194957,872.0339690429431
2022-01-26,36852.12109375,31324598034,-1.7863333333333332e-05,-0.0027608244495656064,-0.14474317651710147,,0.08605655331485351,27.044301468610144,-13.475552032101422,-1630.6131694141368,-1503.3366474186155,-127.2765219955213,0.035184689397655074,,,,,,,,,,,,,,,,,,,2762483823.5559883,-5834.3976264101,-1237.7518672281458,-1722.719603497399,-214.10088466900476,-940.3939982845136,822.0421473286176
2022-01-27,37138.234375,25041426629,-7.536333333333334e-05,0.007733837890785913,-0.1488690033221381,,0.11990602681418064,29.29818488964453,-13.831801501659987,-1420.9948243715262,-1486.8682828091978,65.87345843767162,0.03497799896705372,,,,,,,,,,,,,,,,,,,-3520687581.442833,-1980.0207292312552,-1052.5705905303648,-1488.557356087454,-46.64829810184611,-1007.3154375599092,744.4789251327402
2022-01-28,37784.33203125,22238830523,3.184e-05,0.017247505090414967,-0.1334226538539326,,0.1709701133853725,34.26620333752065,-12.490484840249357,-1142.357608172104,-1417.9661478817793,275.60853970967537,0.035720174875880854,,,,,,,,,,,,,,,,,,,-6323283687.442017,258.51216488767386,-984.850881957831,-1207.20207137417,149.28917424434562,-1038.5653681766732,634.954685628804
2022-01-29,38138.1796875,17194183075,3.723333333333333e-06,0.00932135173920975,-0.12262908975032122,,0.24712538360639366,36.89697455752129,-11.540829414976852,-874.5868878440087,-1309.2902958742254,434.7034080302167,0.03606531581007449,,,,,,,,,,,,,,,,,,,-11367931135.440994,3479.6406223638987,-813.2489096561576,-913.2833637525406,291.0743498723246,-1031.0889687620613,521.6240659710708
2022-01-30,37917.6015625,14643548444,8.392000000000001e-05,-0.005800446457155093,-0.10820196450842746,,0.29598409114987984,35.92599215423928,-10.255367418009806,-706.4593672209303,-1188.7241101435663,482.26474292263606,0.03592717866436441,,,,,,,,,,,,,,,,,,,-13918565766.440702,4712.71139676858,-664.0177241838956,-727.224652651302,336.7702368609249,-972.1752432676333,441.8827713776497
