datetime,close,Volume,log_returns,log_returns_13,Hurst_13,MR_Strength_13,RSI_13,Momentum_13,MACD_13,MACD_Signal_13,MACD_Diff_13,Volatility_logreturns_13,log_returns_34,Hurst_34,MR_Strength_34,RSI_34,Momentum_34,MACD_34,MACD_Signal_34,MACD_Diff_34,Volatility_logreturns_34,log_returns_55,Hurst_55,MR_Strength_55,RSI_55,Momentum_55,MACD_55,MACD_Signal_55,MACD_Diff_55,Volatility_logreturns_55,umap_1,umap_2,umap_3,umap_4,umap_5,umap_6,umap_7
2022-02-22,112.9147491455078,841000,-0.019891704108582917,-0.02985796712457234,,1.4240982409834466,38.32611905525615,-2.9416621492889847,-0.5722609188881478,-0.010733356223963667,-0.5615275626641841,0.016701421871417727,-0.0979837471019414,,0.2817681341482459,39.47297184483349,-9.333636045412204,-1.171263673722791,,,0.015574331795912201,,,,,,,,,,9.861298,4.841184,-1.4843702,0.33303896,6.477284,4.235733,5.3027983
2022-02-23,111.0436553955078,561300,-0.016709685799621815,-0.018511039988769885,,0.9676726657851267,34.16563116749731,-1.8340762974984364,-1.091175320959266,-0.22682174917102416,-0.8643535717882419,0.015495989833818426,-0.09321260281890696,,0.2470356029179412,37.15413440971774,-8.900020141909717,-1.3719259609017485,,,0.015422427054033428,,,,,,,,,,1.7364268,3.1349235,10.284729,1.3458345,5.988043,1.2535195,3.481783
2022-02-24,113.6903076171875,751800,0.02355473604670123,-0.025094164613363164,,0.0,43.555035798985685,-2.478192332855441,-0.9862470733767594,-0.3787068140121712,-0.6075402593645882,0.014450957098528798,-0.0597466372485157,,0.21276314262536583,42.11021879951797,-5.799682813252256,-1.3885542279648888,,,0.016007802359649756,,,,,,,,,,5.8578005,-0.11205252,-0.591815,7.486512,1.4927435,2.545643,4.6169424
2022-02-25,114.32307434082033,564000,0.005550273782982368,-0.01704586012948251,,0.2830910067998729,45.56582205695281,-1.690140142793335,-0.7913550603225161,-0.4612364632742402,-0.3301185970482759,0.01459627868755893,-0.062117272889584935,,0.30717515442011406,43.213332043836935,-6.0227329528097036,-1.3595247668441885,,,0.01596948712105842,,,,,,,,,,1.8261064,3.0539076,10.309547,1.4257021,6.280433,1.1717327,3.6157036
2022-02-28,114.1770477294922,1143800,-0.0012781317566432874,-0.04009442627175445,,0.32018658396223115,45.16358727888564,-3.9301280329138417,-0.6605941576086991,-0.501108002141132,-0.15948615546756706,0.012854928383499357,-0.052900554278910376,,0.32541640145661316,43.01842566377493,-5.152567049385899,-1.334444211679184,,,0.015895949444474308,,,,,,,,,,10.58655,10.797745,8.858881,9.236138,3.7527363,4.5446677,6.0892663
2022-03-01,114.08943939208984,649800,-0.0007675970556054268,-0.030283489083144585,,0.308983714787835,44.90594343455382,-2.98295381742818,-0.5660889120002253,-0.5141041841129508,-0.051984727887274484,0.012664870557080116,-0.041514412747521705,,0.32219425022098425,42.89882540741828,-4.066449141864205,-1.3096797251678396,,,0.01578546899063497,,,,,,,,,,4.1505485,-2.1344879,7.2537103,9.158922,8.566818,6.4968777,5.6893463
2022-03-02,115.49122619628906,663100,0.012211866545747543,-0.016421405448187515,,0.346864334899476,49.86366943596479,-1.6287309189449126,-0.2848676299257704,-0.46825687327551474,0.18338924334974432,0.013294722986965959,-0.055610313212952296,,0.42003351596210897,45.40125443263918,-5.409232819958705,-1.2049573138639715,,,0.015215361681637679,,,,,,,,,,4.182713,-2.3560517,6.1741037,9.5261755,7.52452,7.1054287,4.744443
2022-03-03,114.22572326660156,988100,-0.01101804403207089,-0.020728261701817085,,0.3933820688330171,45.830250822009845,-2.0514907978687074,-0.2818502173896036,-0.43097554209833255,0.14912532470872897,0.013493966567762904,-0.05577093341384099,,0.5120280620105832,43.62306089793544,-5.424424787884255,-1.1778364205075889,-1.2311359190529902,0.05329949854540139,0.015218336318175702,,,,,,,,,,10.075057,7.2082696,2.5323987,-1.0966198,10.071948,8.138917,1.1528695
2022-03-04,117.3213348388672,661200,0.026740102429170833,0.003603809870729903,,0.473833189744206,55.39217915148765,0.36103114012692844,0.17373149315578473,-0.3100341350475091,0.48376562820329383,0.015616049087249608,0.0054299502956744895,,0.40122589852853646,48.68804429168246,0.5444719195144394,-0.9805634509341985,-1.181021425429232,0.20045797449503344,0.01483324358078883,,,,,,,,,,4.1642475,-2.3448641,6.3710876,9.512569,7.699023,7.100188,4.878618
2022-03-07,113.33014678955078,546100,-0.03461140982103737,-0.04115646821128549,,0.7704640632060183,44.43635764035994,-4.03210410505036,-0.12460173164350863,-0.27294765436670904,0.1483459227232004,0.01800922110417133,-0.01073373029198393,,0.3978569586471509,43.49698067938987,-1.0676329367911244,-1.0244015651219343,-1.1496974533677724,0.12529588824583815,0.015682395404480715,,,,,,,,,,1.3187389,3.0265968,10.149593,0.94253767,3.827195,2.3569908,2.6157768
